RaceId,DriverId,Lap,Stop,Time,Duration
Spanish Grand Prix,kobayashi,1,1,14:05:11,24.871
Spanish Grand Prix,perez,7,1,14:14:14,23.592
Spanish Grand Prix,maldonado,8,1,14:15:48,22.689
Spanish Grand Prix,vettel,9,1,14:16:54,20.253
Spanish Grand Prix,buemi,9,1,14:17:17,20.818
Spanish Grand Prix,alonso,10,1,14:18:23,20.567
Spanish Grand Prix,webber,10,1,14:18:27,20.881
Spanish Grand Prix,michael_schumacher,10,1,14:18:43,20.084
Spanish Grand Prix,hamilton,11,1,14:19:57,19.761
Spanish Grand Prix,petrov,11,1,14:20:14,21.856
Spanish Grand Prix,rosberg,11,1,14:20:17,20.647
Spanish Grand Prix,massa,11,1,14:20:19,20.800
Spanish Grand Prix,alguersuari,11,1,14:20:28,20.741
Spanish Grand Prix,barrichello,11,1,14:20:48,29.936
Spanish Grand Prix,sutil,13,1,14:23:57,20.773
Spanish Grand Prix,button,14,1,14:24:51,20.015
Spanish Grand Prix,karthikeyan,14,1,14:25:56,24.843
Spanish Grand Prix,resta,15,1,14:26:40,20.070
Spanish Grand Prix,trulli,15,1,14:26:50,22.364
Spanish Grand Prix,kovalainen,16,1,14:28:30,21.019
Spanish Grand Prix,liuzzi,16,1,14:28:55,23.157
Spanish Grand Prix,glock,16,1,14:29:00,22.744
Spanish Grand Prix,ambrosio,17,1,14:30:41,23.176
Spanish Grand Prix,vettel,18,2,14:30:44,19.887
Spanish Grand Prix,alonso,19,2,14:32:13,20.238
Spanish Grand Prix,webber,19,2,14:32:16,20.079
Spanish Grand Prix,maldonado,20,2,14:34:36,24.821
Spanish Grand Prix,massa,21,2,14:35:51,21.635
Spanish Grand Prix,heidfeld,21,1,14:36:21,21.322
Spanish Grand Prix,hamilton,23,2,14:38:08,20.235
Spanish Grand Prix,perez,1,1,14:05:24,21.864
Spanish Grand Prix,webber,6,1,14:12:45,20.119
Spanish Grand Prix,vettel,7,1,14:14:11,19.745
Spanish Grand Prix,kobayashi,8,1,14:15:44,22.260
Spanish Grand Prix,rosberg,9,1,14:17:10,20.502
Spanish Grand Prix,button,9,1,14:17:14,20.333
Spanish Grand Prix,resta,9,1,14:17:22,19.987
Spanish Grand Prix,alonso,10,1,14:18:30,19.456
Spanish Grand Prix,grosjean,10,1,14:18:42,20.223
Spanish Grand Prix,michael_schumacher,10,1,14:18:44,20.113
Spanish Grand Prix,vergne,10,1,14:18:52,20.388
Spanish Grand Prix,massa,10,1,14:18:53,20.130
Spanish Grand Prix,hulkenberg,10,1,14:18:56,20.521
Spanish Grand Prix,petrov,10,1,14:19:03,24.856
Spanish Grand Prix,rosa,10,1,14:19:19,22.275
Spanish Grand Prix,maldonado,11,1,14:20:01,20.620
Spanish Grand Prix,raikkonen,11,1,14:20:05,19.777
Spanish Grand Prix,ricciardo,11,1,14:20:29,21.101
Spanish Grand Prix,karthikeyan,11,1,14:20:59,21.518
Spanish Grand Prix,kovalainen,13,1,14:23:37,21.290
Spanish Grand Prix,hamilton,14,1,14:24:59,21.963
Spanish Grand Prix,glock,14,1,14:25:27,21.082
Spanish Grand Prix,pic,15,1,14:27:06,20.936
Spanish Grand Prix,webber,17,2,14:29:54,24.864
Spanish Grand Prix,perez,17,2,14:30:09,21.055
Spanish Grand Prix,hulkenberg,19,2,14:32:55,20.558
Spanish Grand Prix,rosa,19,2,14:33:43,22.135
Spanish Grand Prix,rosberg,22,2,14:37:13,20.059
Spanish Grand Prix,karthikeyan,22,2,14:38:37,22.515
Spanish Grand Prix,resta,23,2,14:38:57,21.680
Spanish Grand Prix,jules_bianchi,2,1,14:06:58,29.994
Spanish Grand Prix,webber,7,1,14:14:27,19.668
Spanish Grand Prix,massa,8,1,14:15:53,19.490
Spanish Grand Prix,sutil,8,1,14:15:56,1:14.026
Spanish Grand Prix,hulkenberg,8,1,14:15:59,19.993
Spanish Grand Prix,maldonado,8,1,14:16:03,20.205
Spanish Grand Prix,pic,8,1,14:16:15,20.734
Spanish Grand Prix,alonso,9,1,14:17:21,18.909
Spanish Grand Prix,hamilton,9,1,14:17:26,22.018
Spanish Grand Prix,resta,9,1,14:17:29,20.615
Spanish Grand Prix,vergne,9,1,14:17:33,19.772
Spanish Grand Prix,garde,9,1,14:17:41,21.686
Spanish Grand Prix,bottas,9,1,14:17:42,21.171
Spanish Grand Prix,rosberg,10,1,14:18:50,19.414
Spanish Grand Prix,vettel,10,1,14:18:51,18.606
Spanish Grand Prix,raikkonen,10,1,14:18:53,19.978
Spanish Grand Prix,perez,10,1,14:18:59,19.250
Spanish Grand Prix,ricciardo,10,1,14:19:03,19.795
Spanish Grand Prix,button,11,1,14:20:44,18.810
Spanish Grand Prix,gutierrez,13,1,14:23:38,22.144
Spanish Grand Prix,maldonado,13,2,14:23:55,13.266
Spanish Grand Prix,chilton,15,1,14:27:24,25.294
Spanish Grand Prix,jules_bianchi,16,2,14:28:59,20.656
Spanish Grand Prix,resta,19,2,14:32:58,19.792
Spanish Grand Prix,massa,20,2,14:34:12,19.373
Spanish Grand Prix,webber,20,2,14:34:27,19.151
Spanish Grand Prix,vergne,20,2,14:34:37,20.671
Spanish Grand Prix,maldonado,20,3,14:34:52,23.139
Spanish Grand Prix,garde,20,2,14:34:59,22.029
Spanish Grand Prix,alonso,21,2,14:35:36,19.952
Spanish Grand Prix,vettel,12,1,14:22:29,21.974
Spanish Grand Prix,ricciardo,14,1,14:25:18,21.969
Spanish Grand Prix,grosjean,15,1,14:26:57,22.126
Spanish Grand Prix,massa,15,1,14:27:02,22.890
Spanish Grand Prix,maldonado,15,1,14:27:21,27.851
Spanish Grand Prix,alonso,16,1,14:28:34,21.970
Spanish Grand Prix,vergne,16,1,14:28:57,22.976
Spanish Grand Prix,raikkonen,17,1,14:30:07,22.056
Spanish Grand Prix,hulkenberg,17,1,14:30:13,22.355
Spanish Grand Prix,button,17,1,14:30:19,21.810
Spanish Grand Prix,sutil,17,1,14:30:29,28.013
Spanish Grand Prix,chilton,17,1,14:30:46,24.337
Spanish Grand Prix,hamilton,18,1,14:31:07,22.951
Spanish Grand Prix,perez,18,1,14:31:48,22.367
Spanish Grand Prix,kvyat,18,1,14:31:51,22.703
Spanish Grand Prix,gutierrez,18,1,14:32:02,23.063
Spanish Grand Prix,ericsson,18,1,14:32:30,23.091
Spanish Grand Prix,kevin_magnussen,19,1,14:33:31,21.894
Spanish Grand Prix,bottas,20,1,14:34:39,22.824
Spanish Grand Prix,rosberg,21,1,14:35:43,22.254
Spanish Grand Prix,jules_bianchi,21,1,14:37:01,22.928
Spanish Grand Prix,kobayashi,23,1,14:40:18,22.789
Spanish Grand Prix,massa,28,2,14:47:33,22.381
Spanish Grand Prix,chilton,31,2,14:53:03,23.232
Spanish Grand Prix,vettel,33,2,14:55:18,21.599
Spanish Grand Prix,grosjean,34,2,14:56:49,22.078
Spanish Grand Prix,alonso,35,2,14:58:14,22.014
Spanish Grand Prix,sutil,35,2,14:58:53,23.378
Spanish Grand Prix,hulkenberg,36,2,14:59:56,22.724
Spanish Grand Prix,button,36,2,15:00:01,24.408
Spanish Grand Prix,hulkenberg,10,1,14:19:46,22.659
Spanish Grand Prix,kvyat,11,1,14:21:18,22.667
Spanish Grand Prix,button,11,1,14:21:23,22.589
Spanish Grand Prix,nasr,12,1,14:22:55,22.677
Spanish Grand Prix,hamilton,13,1,14:23:49,24.586
Spanish Grand Prix,ricciardo,13,1,14:24:18,22.440
Spanish Grand Prix,max_verstappen,13,1,14:24:19,24.396
Spanish Grand Prix,vettel,14,1,14:25:21,21.762
Spanish Grand Prix,massa,14,1,14:25:37,22.139
Spanish Grand Prix,maldonado,14,1,14:25:48,24.976
Spanish Grand Prix,sainz,14,1,14:25:58,22.859
Spanish Grand Prix,rosberg,15,1,14:26:45,21.870
Spanish Grand Prix,bottas,15,1,14:27:01,22.082
Spanish Grand Prix,grosjean,15,1,14:27:28,23.309
Spanish Grand Prix,maldonado,15,2,14:27:46,32.459
Spanish Grand Prix,stevens,16,1,14:29:49,24.687
Spanish Grand Prix,raikkonen,17,1,14:30:09,22.623
Spanish Grand Prix,merhi,17,1,14:31:33,24.631
Spanish Grand Prix,ericsson,18,1,14:32:23,25.272
Spanish Grand Prix,perez,19,1,14:33:59,22.468
Spanish Grand Prix,alonso,21,1,14:37:01,23.728
Spanish Grand Prix,hulkenberg,26,2,14:45:13,22.534
Spanish Grand Prix,button,27,2,14:47:05,23.327
Spanish Grand Prix,merhi,30,2,14:53:03,23.070
Spanish Grand Prix,hamilton,32,2,14:53:17,22.727
Spanish Grand Prix,massa,32,2,14:53:41,22.629
Spanish Grand Prix,stevens,32,2,14:56:02,23.043
Spanish Grand Prix,perez,36,2,15:01:03,22.426
Spanish Grand Prix,max_verstappen,37,2,15:02:19,22.607
Spanish Grand Prix,kvyat,38,2,15:03:48,22.273
Spanish Grand Prix,massa,8,1,14:17:31,21.384
Spanish Grand Prix,perez,9,1,14:18:56,22.679
Spanish Grand Prix,kvyat,9,1,14:19:03,23.277
Spanish Grand Prix,ericsson,9,1,14:19:07,22.840
Spanish Grand Prix,sainz,10,1,14:20:24,22.874
Spanish Grand Prix,button,10,1,14:20:28,22.280
Spanish Grand Prix,hulkenberg,10,1,14:20:31,22.176
Spanish Grand Prix,kevin_magnussen,10,1,14:20:34,22.843
Spanish Grand Prix,ricciardo,11,1,14:21:44,21.738
Spanish Grand Prix,alonso,11,1,14:22:02,21.795
Spanish Grand Prix,jolyon_palmer,11,1,14:22:09,23.283
Spanish Grand Prix,wehrlein,11,1,14:22:14,24.554
Spanish Grand Prix,max_verstappen,12,1,14:23:18,22.369
Spanish Grand Prix,raikkonen,12,1,14:23:25,22.107
Spanish Grand Prix,bottas,12,1,14:23:27,21.856
Spanish Grand Prix,nasr,12,1,14:23:45,22.976
Spanish Grand Prix,vettel,15,1,14:27:51,21.643
Spanish Grand Prix,grosjean,15,1,14:28:12,23.187
Spanish Grand Prix,gutierrez,16,1,14:29:51,23.206
Spanish Grand Prix,haryanto,22,1,14:39:41,28.753
Spanish Grand Prix,ericsson,24,2,14:42:39,23.122
Spanish Grand Prix,massa,25,2,14:43:57,22.568
Spanish Grand Prix,kvyat,25,2,14:44:06,22.234
Spanish Grand Prix,ricciardo,28,2,14:47:45,22.104
Spanish Grand Prix,vettel,29,2,14:49:18,22.617
Spanish Grand Prix,grosjean,29,2,14:50:06,22.844
Spanish Grand Prix,gutierrez,30,2,14:51:38,22.430
Spanish Grand Prix,kevin_magnussen,30,2,14:51:49,23.165
Spanish Grand Prix,jolyon_palmer,33,2,14:56:34,22.397
Spanish Grand Prix,wehrlein,33,2,14:56:46,24.387
Spanish Grand Prix,kvyat,1,1,14:04:51,22.235
Spanish Grand Prix,massa,1,1,14:05:02,40.612
Spanish Grand Prix,jolyon_palmer,2,1,14:06:27,23.159
Spanish Grand Prix,alonso,12,1,14:21:10,22.690
Spanish Grand Prix,stroll,12,1,14:21:16,22.100
Spanish Grand Prix,vandoorne,12,1,14:21:24,22.547
Spanish Grand Prix,kevin_magnussen,13,1,14:22:35,22.703
Spanish Grand Prix,sainz,13,1,14:22:36,22.432
Spanish Grand Prix,massa,13,2,14:23:17,22.292
Spanish Grand Prix,vettel,14,1,14:23:19,22.499
Spanish Grand Prix,hulkenberg,15,1,14:25:28,22.490
Spanish Grand Prix,ocon,16,1,14:26:51,22.616
Spanish Grand Prix,perez,18,1,14:29:42,25.082
Spanish Grand Prix,ericsson,18,1,14:30:11,22.995
Spanish Grand Prix,grosjean,19,1,14:31:26,22.866
Spanish Grand Prix,hamilton,21,1,14:33:26,21.544
Spanish Grand Prix,ricciardo,21,1,14:33:54,21.811
Spanish Grand Prix,jolyon_palmer,21,2,14:35:11,22.762
Spanish Grand Prix,bottas,26,1,14:41:01,21.689
Spanish Grand Prix,alonso,31,2,14:49:39,23.354
Spanish Grand Prix,ericsson,32,2,14:51:03,22.775
Spanish Grand Prix,wehrlein,33,1,14:52:14,23.445
Spanish Grand Prix,hulkenberg,33,2,14:52:15,22.362
Spanish Grand Prix,kevin_magnussen,33,2,14:52:15,23.814
Spanish Grand Prix,kvyat,33,2,14:52:37,22.117
Spanish Grand Prix,stroll,33,2,14:52:52,22.071
Spanish Grand Prix,massa,33,3,14:53:10,23.066
Spanish Grand Prix,perez,34,2,14:53:46,23.107
Spanish Grand Prix,ocon,34,2,14:53:58,22.643
Spanish Grand Prix,sainz,34,2,14:54:20,21.934
Spanish Grand Prix,brendon_hartley,1,1,15:15:19,22.631
Spanish Grand Prix,sirotkin,1,1,15:15:23,22.049
Spanish Grand Prix,vettel,17,1,15:41:29,22.054
Spanish Grand Prix,bottas,19,1,15:44:12,23.213
Spanish Grand Prix,leclerc,20,1,15:46:09,21.995
Spanish Grand Prix,stroll,20,1,15:46:18,21.351
Spanish Grand Prix,alonso,21,1,15:47:34,21.721
Spanish Grand Prix,sirotkin,24,2,15:52:02,22.034
Spanish Grand Prix,hamilton,25,1,15:52:11,22.085
Spanish Grand Prix,sainz,25,1,15:53:03,22.409
Spanish Grand Prix,perez,26,1,15:54:45,22.438
Spanish Grand Prix,ocon,29,1,15:58:45,47.910
Spanish Grand Prix,kevin_magnussen,32,1,16:02:35,22.917
Spanish Grand Prix,ricciardo,33,1,16:03:28,21.618
Spanish Grand Prix,brendon_hartley,33,2,16:04:40,22.472
Spanish Grand Prix,max_verstappen,34,1,16:04:41,21.740
Spanish Grand Prix,vandoorne,34,1,16:05:53,27.416
Spanish Grand Prix,ericsson,35,1,16:07:20,22.100
Spanish Grand Prix,vettel,41,2,16:14:52,24.273
Spanish Grand Prix,perez,40,2,16:14:56,22.242
Spanish Grand Prix,sirotkin,41,3,16:17:36,23.865
Spanish Grand Prix,giovinazzi,6,1,15:21:55,22.381
Spanish Grand Prix,vettel,19,1,15:39:39,23.746
Spanish Grand Prix,max_verstappen,20,1,15:40:52,22.417
Spanish Grand Prix,kvyat,21,1,15:42:48,22.049
Spanish Grand Prix,gasly,22,1,15:43:55,22.563
Spanish Grand Prix,stroll,22,1,15:44:26,23.321
Spanish Grand Prix,kevin_magnussen,23,1,15:45:34,22.025
Spanish Grand Prix,ricciardo,24,1,15:47:07,22.379
Spanish Grand Prix,sainz,24,1,15:47:10,21.468
Spanish Grand Prix,perez,24,1,15:47:11,22.781
Spanish Grand Prix,leclerc,25,1,15:47:53,23.646
Spanish Grand Prix,albon,25,1,15:48:27,23.591
Spanish Grand Prix,bottas,26,1,15:49:04,22.034
Spanish Grand Prix,grosjean,26,1,15:49:40,22.379
Spanish Grand Prix,norris,26,1,15:50:07,21.579
Spanish Grand Prix,hamilton,27,1,15:50:16,22.265
Spanish Grand Prix,raikkonen,28,1,15:53:02,22.342
Spanish Grand Prix,kubica,31,1,15:58:16,21.954
Spanish Grand Prix,russell,32,1,15:59:33,22.442
Spanish Grand Prix,hulkenberg,35,1,16:02:40,22.193
Spanish Grand Prix,vettel,40,2,16:08:48,21.643
Spanish Grand Prix,giovinazzi,41,2,16:12:09,23.507
Spanish Grand Prix,max_verstappen,43,2,16:12:43,22.540
Spanish Grand Prix,bottas,45,2,16:15:21,22.018
Spanish Grand Prix,kvyat,45,2,16:16:25,33.821
Spanish Grand Prix,kevin_magnussen,45,2,16:16:29,22.992
Spanish Grand Prix,albon,45,2,16:16:34,37.345
Spanish Grand Prix,hamilton,46,2,16:16:43,22.511
Spanish Grand Prix,ricciardo,45,2,16:16:58,22.702
Spanish Grand Prix,perez,45,2,16:17:06,22.896
70th Anniversary Grand Prix,albon,6,1,14:22:39,28.417
70th Anniversary Grand Prix,gasly,7,1,14:24:09,28.356
70th Anniversary Grand Prix,giovinazzi,7,1,14:24:23,27.892
70th Anniversary Grand Prix,russell,8,1,14:25:59,28.391
70th Anniversary Grand Prix,kevin_magnussen,9,1,14:27:31,28.934
70th Anniversary Grand Prix,latifi,9,1,14:27:35,28.696
70th Anniversary Grand Prix,norris,12,1,14:31:56,27.949
70th Anniversary Grand Prix,bottas,13,1,14:33:10,28.408
70th Anniversary Grand Prix,hamilton,14,1,14:34:45,28.406
70th Anniversary Grand Prix,ricciardo,14,1,14:34:58,28.587
70th Anniversary Grand Prix,hulkenberg,15,1,14:36:26,28.981
70th Anniversary Grand Prix,grosjean,17,1,14:40:00,29.377
70th Anniversary Grand Prix,stroll,18,1,14:41:04,28.235
70th Anniversary Grand Prix,leclerc,18,1,14:41:13,29.419
70th Anniversary Grand Prix,kvyat,19,1,14:43:00,28.036
70th Anniversary Grand Prix,kevin_magnussen,20,2,14:45:03,29.389
70th Anniversary Grand Prix,sainz,22,1,14:47:30,35.864
70th Anniversary Grand Prix,ocon,22,1,14:47:36,28.093
70th Anniversary Grand Prix,vettel,22,1,14:47:40,28.167
70th Anniversary Grand Prix,gasly,23,2,14:49:25,28.306
70th Anniversary Grand Prix,russell,24,2,14:51:11,28.331
70th Anniversary Grand Prix,max_verstappen,26,1,14:53:04,29.115
70th Anniversary Grand Prix,ricciardo,26,2,14:53:46,28.167
70th Anniversary Grand Prix,raikkonen,26,1,14:54:13,29.296
70th Anniversary Grand Prix,latifi,26,2,14:54:19,28.086
70th Anniversary Grand Prix,norris,29,2,14:58:32,28.874
70th Anniversary Grand Prix,hulkenberg,30,2,14:59:44,28.386
70th Anniversary Grand Prix,albon,30,2,15:00:01,27.858
70th Anniversary Grand Prix,stroll,31,2,15:01:17,27.974
70th Anniversary Grand Prix,max_verstappen,32,2,15:02:28,28.986
Monaco Grand Prix,hamilton,29,1,15:40:07,23.783
Monaco Grand Prix,norris,30,1,15:41:20,23.874
Monaco Grand Prix,gasly,30,1,15:41:23,24.428
Monaco Grand Prix,vettel,31,1,15:42:42,24.369
Monaco Grand Prix,russell,31,1,15:43:46,23.928
Monaco Grand Prix,sainz,32,1,15:43:47,24.150
Monaco Grand Prix,giovinazzi,33,1,15:45:42,24.521
Monaco Grand Prix,max_verstappen,34,1,15:46:10,23.746
Monaco Grand Prix,perez,35,1,15:47:44,24.548
Monaco Grand Prix,mazepin,34,1,15:48:25,25.202
Monaco Grand Prix,ricciardo,36,1,15:49:52,24.715
Monaco Grand Prix,ocon,37,1,15:50:48,23.935
Monaco Grand Prix,mick_schumacher,37,1,15:52:43,24.797
Monaco Grand Prix,raikkonen,43,1,15:58:41,24.077
Monaco Grand Prix,latifi,43,1,15:59:23,23.703
Monaco Grand Prix,alonso,45,1,16:01:34,23.803
Monaco Grand Prix,stroll,58,1,16:17:28,23.474
Monaco Grand Prix,tsunoda,64,1,16:26:09,24.430
Monaco Grand Prix,hamilton,67,2,16:28:48,24.244
Miami Grand Prix,tsunoda,11,1,15:51:11,18.870
Miami Grand Prix,kevin_magnussen,12,1,15:52:43,19.760
Miami Grand Prix,mick_schumacher,14,1,15:55:54,20.413
Miami Grand Prix,alonso,15,1,15:57:23,21.638
Miami Grand Prix,gasly,16,1,15:58:56,19.543
Miami Grand Prix,albon,16,1,15:59:11,20.059
Miami Grand Prix,norris,18,1,16:02:13,19.986
Miami Grand Prix,hamilton,22,1,16:08:23,18.820
Miami Grand Prix,leclerc,24,1,16:11:03,19.697
Miami Grand Prix,max_verstappen,26,1,16:14:04,18.798
Miami Grand Prix,bottas,26,1,16:14:35,19.614
Miami Grand Prix,sainz,27,1,16:15:51,22.063
Miami Grand Prix,perez,27,1,16:16:00,18.519
Miami Grand Prix,ricciardo,30,1,16:21:25,19.484
Miami Grand Prix,latifi,34,1,16:28:20,19.185
Miami Grand Prix,russell,40,1,16:36:53,19.035
Miami Grand Prix,stroll,40,1,16:37:28,19.074
Miami Grand Prix,gasly,40,2,16:37:43,19.007
Miami Grand Prix,perez,41,2,16:38:38,18.433
Miami Grand Prix,ocon,41,1,16:39:21,19.019
Miami Grand Prix,vettel,41,1,16:39:42,19.861
Miami Grand Prix,ricciardo,41,2,16:39:49,19.280
Miami Grand Prix,tsunoda,41,2,16:40:43,19.618
Miami Grand Prix,kevin_magnussen,42,2,16:41:34,20.673
Miami Grand Prix,mick_schumacher,54,2,17:03:43,32.381
